Edray Herber Goins,Pomona College,pomona.edu,167,Number Theory,https://scholar.google.com/citations?hl=en&user=AKAZXMEAAAAJ
Alexandra Lippman,Pomona College,pomona.edu,161,Anthropology | Brazil | popular culture | Science & Technology Studies | sound studies,https://scholar.google.com/citations?hl=en&user=i2gVO4cAAAAJ
Victor Silverman,"Professor of History, Pomona College",pomona.edu,157,Not Mentioned,https://scholar.google.com/citations?hl=en&user=-KjqknwAAAAJ
Heidi Nichols Haddad,Pomona College,pomona.edu,141,Not Mentioned,https://scholar.google.com/citations?hl=en&user=r2fHjsoAAAAJ
Manisha Goel,Pomona College,pomona.edu,99,Economics,https://scholar.google.com/citations?hl=en&user=-uSrXzYAAAAJ
Gibb Schreffler,Pomona College,pomona.edu,99,Not Mentioned,https://scholar.google.com/citations?hl=en&user=iL24L40AAAAJ
Shannon M Burns,Pomona College,pomona.edu,96,social psychology | social neuroscience,https://scholar.google.com/citations?hl=en&user=HN9GDkkAAAAJ
Sara Sadhwani,"Assistant Professor, Pomona College",pomona.edu,91,American politics | voting behavior | race & ethnic politics,https://scholar.google.com/citations?hl=en&user=x15EqWQAAAAJ
David Divita,Pomona College,pomona.edu,89,lingusitic anthropology | sociolinguistics | discourse analysis | Spain | France,https://scholar.google.com/citations?hl=en&user=jeOWTFkAAAAJ
Laura W. Johnson,"Visiting Assistant Professor of Linguistics and Cognitive Science, Pomona College",pomona.edu,74,Language | Memory | Emotion | Time Perception,https://scholar.google.com/citations?hl=en&user=Dzc-_0cAAAAJ
Tomás F. Summers Sandoval Jr.,Pomona College,pomona.edu,71,Latinx histories,https://scholar.google.com/citations?hl=en&user=X2_Q-b4AAAAJ
Anne Dwyer,"Associate Professor of Russian, Pomona College",pomona.edu,64,Comparative Literature | Russian Literature | German Literature | Cultural History,https://scholar.google.com/citations?hl=en&user=XugNKZYAAAAJ
Jun Lang,Pomona College,pomona.edu,64,language in digital communication | sociolinguistics | corpus linguistics | language and gender | second language acquisition,https://scholar.google.com/citations?hl=en&user=ajQ0XZYAAAAJ
Mary Coffey,"Professor of Spanish, Pomona College",pomona.edu,62,Spanish literature,https://scholar.google.com/citations?hl=en&user=ayslHskAAAAJ
Li-Fang Lai,"Postdoctoral Fellow, Pomona College",pomona.edu,60,Linguistics | Biases in speech technology,https://scholar.google.com/citations?hl=en&user=oZNXJncAAAAJ
Gianni Graham,Pomona College,Not Mentioned,51,Not Mentioned,https://scholar.google.com/citations?hl=en&user=XxuAWGQAAAAJ
Joanna L. Dyl,Pomona College,alumni.stanford.edu,48,environmental history | natural disasters | coastal cities | environmental justice,https://scholar.google.com/citations?hl=en&user=I_Q3M5QAAAAJ
Erica Dobbs,Pomona College,pomona.edu,43,immigration | participation | collective action | urban politics,https://scholar.google.com/citations?hl=en&user=SOqOCxMAAAAJ
Fan Yi (Phillip) Kong,Pomona College,mymail.pomona.edu,29,Organic Chemistry,https://scholar.google.com/citations?hl=en&user=ZHcs6qYAAAAJ
Tom Le,Pomona College,pomona.edu,24,Japan | East Asia | militarism | constructivism | war memory,https://scholar.google.com/citations?hl=en&user=7LBB1xMAAAAJ
GARY YERITSIAN,"Visiting Assistant Professor, Pomona College",pomona.edu,24,Social Theory | Media Studies,https://scholar.google.com/citations?hl=en&user=hk6VEoEAAAAJ
Win McLaughlin,"Visiting Assistant Professor, Pomona College",uoregon.edu,20,paleontology | geology | stratigraphy | tectonics | paleoecology,https://scholar.google.com/citations?hl=en&user=3D7N4fgAAAAJ
Ethan Hardacre,"Student, Pomona College",mymail.pomona.edu,19,Human Computer Interaction,https://scholar.google.com/citations?hl=en&user=RmW-yfoAAAAJ
Charlotte D'Evelyn,"Assistant Professor, Skidmore College",pomona.edu,18,East Asian music | Mongolia | Inner Mongolia | Chinese minority studies,https://scholar.google.com/citations?hl=en&user=GcgDGnoAAAAJ
Jacob Al-Husseini,"Department of Chemistry, Pomona College",mymail.pomona.edu,16,Not Mentioned,https://scholar.google.com/citations?hl=en&user=jJBDoY4AAAAJ
Franklin Marsh,Pomona College,mymail.pomona.edu,15,Astrophysics,https://scholar.google.com/citations?hl=en&user=PRFTzr8AAAAJ
Conchita Franco Serri,Pomona College,post.harvard.edu,13,Theater.   Drama.  Caribbean history …,https://scholar.google.com/citations?hl=en&user=fEM3eokAAAAJ
Claire Nettleton,"Academic Curator, Benton Museum, Pomona College",pomona.edu,7,Art | Science | 19th century French literature,https://scholar.google.com/citations?hl=en&user=Bz068X8AAAAJ
Karla Cordova,Pomona College,pomona.edu,7,Not Mentioned,https://scholar.google.com/citations?hl=en&user=O57qsOUAAAAJ
Charles Herman,Pomona College,mymail.pomona.edu,6,Public Policy,https://scholar.google.com/citations?hl=en&user=QB8Pam0AAAAJ
Xander Koo,Pomona College,mymail.pomona.edu,6,HCI,https://scholar.google.com/citations?hl=en&user=63_gbiUAAAAJ
Dwight Anderson Williams II,Pomona College,mathdwight.com,4,Black liberation | superalgebras | combinatorics | geometry of Black mathematicians,https://scholar.google.com/citations?hl=en&user=vLtfxSIAAAAJ
