William Cipolli III,Colgate University,colgate.edu,324,Bayesian and Nonparametric Statistics | Statistical Learning | Statistics Consulting,https://scholar.google.com/citations?hl=en&user=otOCH8oAAAAJ
Gongfang Hu,Colgate University,colgate.edu,314,Chemistry | Electrocatalysis | Organometallics,https://scholar.google.com/citations?hl=en&user=Md9qDxcAAAAJ
Dan Bouk,Colgate University,colgate.edu,309,History,https://scholar.google.com/citations?hl=en&user=-JNfobAAAAAJ
Jordan Kerber,"Professor  of Anthropology and Native American Studies, Colgate University",colgate.edu,296,Indigenous archaeology | Native Americans,https://scholar.google.com/citations?hl=en&user=WaXpQeAAAAAJ
Kristin De Lucia,Colgate University,colgate.edu,286,Archaeology | Aztecs | Household Archaeology | Gender | Ceramic Analysis,https://scholar.google.com/citations?hl=en&user=AjKs41AAAAAJ
Anne Rios-Rojas,Colgate University,colgate.edu,272,Im/migration | Education | Immigrant youth identities | Anthropology of Education,https://scholar.google.com/citations?hl=en&user=2RkoE8YAAAAJ
Nicholas Diana,"Colgate University, Department of Computer Science",colgate.edu,258,Learning Science | Educational Data Mining | Human-Computer Interaction,https://scholar.google.com/citations?hl=en&user=G3Vtp6IAAAAJ
Rebecca Mendelsohn,Colgate University,colgate.edu,218,Mesoamerican archaeology | collapse and resilience | trade and interregional interaction | paleoethnobotany | museums,https://scholar.google.com/citations?hl=en&user=7qtHOiwAAAAJ
Dominique C. Hill,Colgate University,colgate.edu,215,Black girlhood | embodiment | carceral geographies | qualitative methods | Black queer identity and culture,https://scholar.google.com/citations?hl=en&user=6X4aV60AAAAJ
"Christine Moskell, PhD","#Alt-Ac Instructional Designer, Learning & Applied Innovation, Colgate University",colgate.edu,213,digital pedagogy | urban forestry | urban environmental stewardship,https://scholar.google.com/citations?hl=en&user=zzRAzlMAAAAJ
Neta Alexander,Colgate University,colgate.edu,202,New Media | Cinema Studies | STS | Disability Studies | Algorithmic Culture,https://scholar.google.com/citations?hl=en&user=Qs2UjTMAAAAJ
Ashley Taylor,"Assistant Professor of Educational Studies, Colgate University",colgate.edu,184,philosophy of education | disability studies | disability studies in education | feminist disability studies,https://scholar.google.com/citations?hl=en&user=YI72xjIAAAAJ
