R Nagarajan,University of Hyderabad,uohyd.ac.in,2340,Organic Chemistry,https://scholar.google.com/citations?hl=en&user=JffRlb8AAAAJ
Suresh B. Pakala,"Associate Professor , Dept of Biochemistry, School of Life Sciences, University of Hyderabad",uohyd.ac.in,2279,Cancer Biology,https://scholar.google.com/citations?hl=en&user=O7u8CHwAAAAJ
Prof.Abdul Sattar Memon,Professor of Surgery Isra University Hyderabad,isra.edu.pk,2270,Surgery,https://scholar.google.com/citations?hl=en&user=l-Quck0AAAAJ
Samrat Sabat,"Professor,University of Hyderabad",uohyd.ac.in,2246,cognitive radio | swarm intelligence | System on Chip,https://scholar.google.com/citations?hl=en&user=MuSO8HwAAAAJ
"AK Pasupulati, PA Kumar",University of Hyderabad,uohyd.ac.in,2229,Cell Biology of Podocytes | Post-translational Modifications,https://scholar.google.com/citations?hl=en&user=Mg009asAAAAJ
Dr. Alok Kumar Mishra,"Associate Professor of Economics, University of Hyderabad",uohyd.ernet.in,2189,Macroeconomics | Financial Economics | Derivatives and Risk Management | Fixed Income Securities | Urban Economics and Transport Eco,https://scholar.google.com/citations?hl=en&user=-aXyL_oAAAAJ
Prof. Dr.-Ing. VVSS Srikanth,"School of Engineering Sciences and Technology, University of Hyderabad",uohyd.ernet.in,2167,Materials Engineering | Nano Science and Technology | Carbon Nanomaterials | Diamond,https://scholar.google.com/citations?hl=en&user=IOtZj1wAAAAJ
Dr. KPMS Padmasree,University of Hyderabad,uohyd.ac.in,2143,Plant Biochemistry | Host-Pest Interactions,https://scholar.google.com/citations?hl=en&user=l-FXi34AAAAJ
Aramati Bindu Madhava Reddy,University of Hyderabad,uohyd.ac.in,2108,Not Mentioned,https://scholar.google.com/citations?hl=en&user=HJmcLOgAAAAJ
Shamanna BR,"Professor, University of Hyderabad",uohyd.ernet.in,2091,Implementation Research for Health Sciences | Health & Welfare Economics | Disability Inclusive Development,https://scholar.google.com/citations?hl=en&user=kz8yMEgAAAAJ
Rengarajan Balamurugan ,University of Hyderabad,uohyd.ernet.in,2079,Organic Chemistry,https://scholar.google.com/citations?hl=en&user=PGS95xkAAAAJ
Gandham S Prasad,"Professor and Director TIE-U, University of Hyderabad",uohyd.ac.in,2032,Innovation | Startups | Yeast Diversity and applications,https://scholar.google.com/citations?hl=en&user=Wz1n3_cAAAAJ
pasupulati anil kumar,university of hyderabad,Not Mentioned,2015,Not Mentioned,https://scholar.google.com/citations?hl=en&user=ikdQ_0Y8DMkC
Prof. Siba K Udgata,"Professor, School of Computer and Information Sciences, University of Hyderabad, India",uohyd.ac.in,2003,Sensor Networks | Internet of Things | Wi-Fi Sensing | Wireless Communication | Intelligent Algorithms,https://scholar.google.com/citations?hl=en&user=3Dgm2bQAAAAJ
Gorla Venkateswara Reddy,University of Hyderabad,uohyd.ac.in,2001,Eicosanoids and Inflammation,https://scholar.google.com/citations?hl=en&user=Q4I4E1IAAAAJ
Vijay Kanawade,"University of Hyderabad, India",uohyd.ac.in,1961,Atmospheric Sciences,https://scholar.google.com/citations?hl=en&user=1B7wxR0AAAAJ
