Waldo Lopez,"Director of Economic Policy Research, TRPI, Claremont Graduate University (retired)",Not Mentioned,289,Macroeconomics | Issues of Concern to Latinos | Policy Analysis,https://scholar.google.com/citations?hl=en&user=0U-mVC0AAAAJ
Saeideh (Saida) Heshmati,Claremont Graduate University,cgu.edu,285,well-being | developmental methods | ecological momentary assessment | love & relationships | culture,https://scholar.google.com/citations?hl=en&user=3opwzrkAAAAJ
"Ayca Altintig, PhD","Assistant Professor of Finance, Claremont Graduate University",cgu.edu,275,Corporate Governace | Agency Theory | Industrial Organization,https://scholar.google.com/citations?hl=en&user=-Is2t68AAAAJ
"Jewel Joo Young Lee, MA, MS, MBA","Adjunct faculty, Azusa Pacific University | Doctoral student, Claremont Graduate University",cgu.edu,248,Positive Work and Organizations | Career Development,https://scholar.google.com/citations?hl=en&user=vW-6dOgAAAAJ
Joshua Goode,Claremont Graduate University,cgu.edu,237,Not Mentioned,https://scholar.google.com/citations?hl=en&user=Migtb4MAAAAJ
Grace Yia-Hei Kao,"… of Ethics, Claremont School of Theology; Affiliated Faculty, Claremont Graduate University",cst.edu,231,Christian ethics | rights (human & animal) | religion in the public sphere | feminism | Asian American Christianity,https://scholar.google.com/citations?hl=en&user=vuyy_wgAAAAJ
anselm min,Claremont Graduate University,cgu.edu,231,theology | philosophy of religion,https://scholar.google.com/citations?hl=en&user=sMemVmEAAAAJ
Yujie wang,Claremont Graduate University,cgu.edu,231,machine learning natural language …,https://scholar.google.com/citations?hl=en&user=tD2vNacAAAAJ
Kaiyuan Chen,Claremont Graduate University,cgu.edu,213,Self identity | sense-making,https://scholar.google.com/citations?hl=en&user=MAbacqsAAAAJ
Wallace Chipidza,Claremont Graduate University,cgu.edu,212,Social Networks | ICT4D,https://scholar.google.com/citations?hl=en&user=Cr3omicAAAAJ
Mark Dust,"Research Assistant, Claremont Graduate University",cgu.edu,202,Post Traumatic Stress Disorder | Stress | Neurocognitive Science | Neuroscience | Autonomic Nervous System,https://scholar.google.com/citations?hl=en&user=ckThCTUAAAAJ
